"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 11 09:14:06 GMT 2024","Wed Dec 11 09:14:30 GMT 2024","24126","","io.oz.ChargeWebTest","","io.oz.ChargeWebTest","shouldLoginSuccessfullyStartAndStopCharging","shouldLoginSuccessfullyStartAndStopCharging()",""
"passed","Wed Dec 11 09:14:43 GMT 2024","Wed Dec 11 09:14:45 GMT 2024","2037","","io.oz.LoginWebTest","","io.oz.LoginWebTest","shouldLoginWrongEmail","shouldLoginWrongEmail()",""
"passed","Wed Dec 11 09:13:45 GMT 2024","Wed Dec 11 09:13:45 GMT 2024","41","","io.oz.CompletedTransactionsApiTest","","io.oz.CompletedTransactionsApiTest","testCompletedTransactionsApi_Returns_401","testCompletedTransactionsApi_Returns_401()",""
"passed","Wed Dec 11 09:14:30 GMT 2024","Wed Dec 11 09:14:34 GMT 2024","4107","","io.oz.LoginWebTest","","io.oz.LoginWebTest","shouldResendCodeOnLogin","shouldResendCodeOnLogin()",""
"passed","Wed Dec 11 09:13:43 GMT 2024","Wed Dec 11 09:13:45 GMT 2024","1593","","io.oz.ChargersApiTest","","io.oz.ChargersApiTest","testChargersApi_Returns_200","testChargersApi_Returns_200()",""
"passed","Wed Dec 11 09:14:39 GMT 2024","Wed Dec 11 09:14:43 GMT 2024","3935","","io.oz.LoginWebTest","","io.oz.LoginWebTest","shouldSuccessfullyLogin","shouldSuccessfullyLogin()",""
"passed","Wed Dec 11 09:13:45 GMT 2024","Wed Dec 11 09:13:45 GMT 2024","26","","io.oz.CompletedTransactionsApiTest","","io.oz.CompletedTransactionsApiTest","testCompletedTransactionsApi_Returns_403","testCompletedTransactionsApi_Returns_403()",""
"passed","Wed Dec 11 09:14:45 GMT 2024","Wed Dec 11 09:14:48 GMT 2024","3322","","io.oz.LoginWebTest","","io.oz.LoginWebTest","shouldLoginWrongAccessCode","shouldLoginWrongAccessCode()",""
"passed","Wed Dec 11 09:13:45 GMT 2024","Wed Dec 11 09:13:45 GMT 2024","61","","io.oz.ChargersApiTest","","io.oz.ChargersApiTest","testChargersApi_Returns_404","testChargersApi_Returns_404()",""
"passed","Wed Dec 11 09:14:34 GMT 2024","Wed Dec 11 09:14:39 GMT 2024","4750","","io.oz.LoginWebTest","","io.oz.LoginWebTest","shouldSuccessfullyLogout","shouldSuccessfullyLogout()",""
